club,fy_end,source,pnl_page,pnl_locator,units,revenue,revenue_prior,operating_result,operating_result_prior,result_for_year,result_for_year_prior,staff_costs,staff_costs_prior,column_how,status,units_corrected,prior_check
Arsenal,2015-05-31,Arsenal_2015-05-31.pdf,11.0,heading,1000.0,335171000.0,303310000.0,29346000.0,41845000.0,,,189708000.0,163046000.0,revenue:half_split;operating_result:half_split;staff_costs:max_in_band,ok,,
Arsenal,2016-05-31,Arsenal_2016-05-31.pdf,11.0,heading,1000.0,341434000.0,335171000.0,25488000.0,29300000.0,,,191764000.0,189754000.0,revenue:prior_anchor;operating_result:prior_anchor;staff_costs:max_in_band,ok,,ok
Arsenal,2017-05-31,Arsenal_2017-05-31.pdf,12.0,heading,1000.0,408067000.0,341434000.0,132930000.0,62762000.0,,,,,revenue:prior_anchor;operating_result:half_split,ok_from_next_prior,,ok
Arsenal,2018-05-31,Arsenal_2018-05-31.pdf,12.0,heading,1000.0,388599000.0,408067000.0,-22455000.0,62762000.0,83887000.0,58897000.0,235703000.0,195396000.0,revenue:half_split;operating_result:half_split;result_for_year:two_col;staff_costs:max_in_band,ok,,ok
Arsenal,2019-05-31,Arsenal_2019-05-31.pdf,12.0,heading,1000.0,367459000.0,388599000.0,-35601000.0,-22455000.0,-19011000.0,83887000.0,230463000.0,235703000.0,revenue:prior_anchor;operating_result:prior_anchor;result_for_year:prior_anchor;staff_costs:max_in_band,ok,,ok
Arsenal,2020-05-31,Arsenal_2020-05-31.pdf,16.0,heading,1000.0,347299000.0,367459000.0,-72229000.0,-35601000.0,-11642000.0,-19011000.0,227984000.0,230463000.0,revenue:prior_anchor;operating_result:prior_anchor;result_for_year:prior_anchor;staff_costs:max_in_band,ok,,ok
Arsenal,2021-05-31,Arsenal_2021-05-31.pdf,17.0,heading,1000.0,328436000.0,347299000.0,-81495000.0,-72229000.0,-50531000.0,-11642000.0,239830000.0,227984000.0,revenue:prior_anchor;operating_result:prior_anchor;result_for_year:prior_anchor;staff_costs:max_in_band,ok,,ok
Arsenal,2022-05-31,Arsenal_2022-05-31.pdf,17.0,heading,1000.0,342249000.0,328436000.0,-64077000.0,-81495000.0,-45798000.0,-50531000.0,205482000.0,,revenue:prior_anchor;operating_result:prior_anchor;result_for_year:prior_anchor;staff_costs:max_in_band,ok,,ok
Arsenal,2023-05-31,Arsenal_2023-05-31.pdf,17.0,heading,1000.0,429910000.0,342249000.0,-59045000.0,-64077000.0,-55479000.0,-45798000.0,225427000.0,205482000.0,revenue:prior_anchor;operating_result:prior_anchor;result_for_year:prior_anchor;staff_costs:max_in_band,ok,,ok
Arsenal,2024-05-31,Arsenal_2024-05-31.pdf,17.0,heading,1000.0,573973000.0,429910000.0,-51315000.0,-59045000.0,-18280000.0,-55479000.0,315168000.0,225427000.0,revenue:prior_anchor;operating_result:prior_anchor;result_for_year:prior_anchor;staff_costs:max_in_band,ok,,ok
