league,season,team,mp,w,d,l,gf,ga,gd,points_raw,deduction,points,position
premier-league,2014-2015,Chelsea,38,26,9,3,73,32,41,87,0,87,1
premier-league,2014-2015,Man City,38,24,7,7,83,38,45,79,0,79,2
premier-league,2014-2015,Arsenal,38,22,9,7,71,36,35,75,0,75,3
premier-league,2014-2015,Man United,38,20,10,8,62,37,25,70,0,70,4
premier-league,2014-2015,Tottenham,38,19,7,12,58,53,5,64,0,64,5
premier-league,2014-2015,Liverpool,38,18,8,12,52,48,4,62,0,62,6
premier-league,2014-2015,Southampton,38,18,6,14,54,33,21,60,0,60,7
premier-league,2014-2015,Swansea,38,16,8,14,46,49,-3,56,0,56,8
premier-league,2014-2015,Stoke,38,15,9,14,48,45,3,54,0,54,9
premier-league,2014-2015,Crystal Palace,38,13,9,16,47,51,-4,48,0,48,10
premier-league,2014-2015,Everton,38,12,11,15,48,50,-2,47,0,47,11
premier-league,2014-2015,West Ham,38,12,11,15,44,47,-3,47,0,47,12
premier-league,2014-2015,West Brom,38,11,11,16,38,51,-13,44,0,44,13
premier-league,2014-2015,Leicester,38,11,8,19,46,55,-9,41,0,41,14
premier-league,2014-2015,Newcastle,38,10,9,19,40,63,-23,39,0,39,15
premier-league,2014-2015,Sunderland,38,7,17,14,31,53,-22,38,0,38,16
premier-league,2014-2015,Aston Villa,38,10,8,20,31,57,-26,38,0,38,17
premier-league,2014-2015,Hull,38,8,11,19,33,51,-18,35,0,35,18
premier-league,2014-2015,Burnley,38,7,12,19,28,53,-25,33,0,33,19
premier-league,2014-2015,QPR,38,8,6,24,42,73,-31,30,0,30,20
premier-league,2015-2016,Leicester,38,23,12,3,68,36,32,81,0,81,1
premier-league,2015-2016,Arsenal,38,20,11,7,65,36,29,71,0,71,2
premier-league,2015-2016,Tottenham,38,19,13,6,69,35,34,70,0,70,3
premier-league,2015-2016,Man City,38,19,9,10,71,41,30,66,0,66,4
premier-league,2015-2016,Man United,38,19,9,10,49,35,14,66,0,66,5
premier-league,2015-2016,Southampton,38,18,9,11,59,41,18,63,0,63,6
premier-league,2015-2016,West Ham,38,16,14,8,65,51,14,62,0,62,7
premier-league,2015-2016,Liverpool,38,16,12,10,63,50,13,60,0,60,8
premier-league,2015-2016,Stoke,38,14,9,15,41,55,-14,51,0,51,9
premier-league,2015-2016,Chelsea,38,12,14,12,59,53,6,50,0,50,10
