month,uk_gilt_10y,fr_oat_10y,uk_cpi_yoy,fr_cpi_yoy,usd_per_gbp,usd_per_eur,eur_gbp
2010-01-01,4.0025,3.5182,2.6,1.101869,1.6158157894736842,1.4265736842105263,0.8828813862966401
2010-02-01,4.0624,3.4941,2.1,1.280672,1.5617631578947369,1.3679947368421053,0.8759297015855898
2010-03-01,4.0915,3.4381,2.4,1.589859,1.5058391304347827,1.357004347826087,0.9011615652691117
2010-04-01,4.1007,3.3992,2.7,1.683827,1.533209090909091,1.3416818181818182,0.8750807871784078
2010-05-01,3.7772,3.0766,2.5,1.649175,1.466895,1.256315,0.856445076164279
2010-06-01,3.6007,3.0714,2.4,1.5080209999999998,1.4768181818181818,1.2223363636363638,0.8276823638042475
2010-07-01,3.5087,2.9809,2.3,1.675978,1.5304095238095237,1.281057142857143,0.8370681983658281
2010-08-01,3.233,2.681,2.4,1.389483,1.5660590909090908,1.2902909090909092,0.8239094658566815
2010-09-01,3.1271,2.6652,2.4,1.564342,1.5590999999999997,1.3102857142857143,0.840411592768722
2010-10-01,3.0685,2.7207,2.5,1.594948,1.586685,1.390095,0.8761001711114683
2010-11-01,3.311,2.9965,2.6,1.571352,1.59607,1.3654249999999999,0.8554919270458061
2010-12-01,3.6098,3.3466,3.1,1.759062,1.5595476190476192,1.3221333333333334,0.8477672096609211
2011-01-01,3.7273,3.4436,3.4,1.741639,1.578205,1.337065,0.8472061614302324
2011-02-01,3.8799,3.6029,3.7,1.6576349999999995,1.612421052631579,1.3655894736842107,0.8469186577882231
2011-03-01,3.7386,3.6073,3.5,1.987945,1.6158782608695652,1.4019826086956524,0.8676288571028813
2011-04-01,3.7619,3.6916,3.8,2.07784,1.6379428571428571,1.4459761904761905,0.8828001441994604
2011-05-01,3.5053,3.4881,3.8,2.012221,1.633247619047619,1.433452380952381,0.8776699651876775
2011-06-01,3.4144,3.4299,3.6,2.10726,1.6219181818181818,1.4402863636363636,0.8880141919500479
2011-07-01,3.3137,3.3927,3.8,1.94421,1.6157599999999999,1.4275,0.8834851710650097
2011-08-01,2.7833,2.9815,3.9,2.234872,1.6356391304347826,1.4333173913043478,0.8763041704213483
2011-09-01,2.504,2.6408,4.5,2.236523,1.5771380952380953,1.3746714285714285,0.8716240085265957
2011-10-01,2.529,2.9947,4.3,2.349594,1.57683,1.373245,0.8708896964162276
2011-11-01,2.2917,3.4093,4.1,2.51526,1.580615,1.35576,0.8577420814050227
2011-12-01,2.1828,3.1593,3.7,2.462022,1.5587428571428572,1.3154571428571429,0.8439218417772564
2012-01-01,2.1104,3.179,3.2,2.352447,1.552415,1.290985,0.8315978652615441
2012-02-01,2.2191,3.0156,3.1,2.289119,1.58042,1.323835,0.8376475873501982
2012-03-01,2.323,2.9505,3.1,2.301711,1.5823772727272727,1.32075,0.8346618867469258
2012-04-01,2.2117,2.9948,2.8,2.0872080000000004,1.5999761904761904,1.3160190476190476,0.8225241447045343
2012-05-01,1.9416,2.7545,2.5,1.982857,1.5923772727272727,1.2806454545454544,0.8042349488900243
2012-06-01,1.7698,2.575,2.3,1.929625,1.5556238095238097,1.2541333333333333,0.8061931976454093
2012-07-01,1.6523,2.2786,2.4,1.938226,1.5592761904761905,1.2277619047619048,0.7873921966235861
2012-08-01,1.6735,2.1194,2.3,2.082904,1.5722173913043478,1.2406217391304348,0.789090456569232
2012-09-01,1.7222,2.2384,2.1,1.908988,1.6126368421052633,1.2884578947368421,0.7989758519064886
2012-10-01,1.7721,2.1866,2.4,1.852996,1.607968181818182,1.2973818181818182,0.8068454543141683
2012-11-01,1.7741,2.1394,2.4,1.416692,1.59683,1.28374,0.8039302868808829
2012-12-01,1.8467,1.9969,2.4,1.329243,1.6144849999999997,1.3119450000000001,0.812608974378827
2013-01-01,2.0795,2.1664,2.4,1.169711,1.5965,1.3303904761904763,0.8333169283999226
2013-02-01,2.1781,2.2448,2.5,1.042305,1.5474473684210526,1.3346736842105262,0.8625002125741884
2013-03-01,1.9768,2.0696,2.5,0.9729401,1.5080190476190478,1.2953142857142856,0.8589508784782305
2013-04-01,1.7824,1.8022,2.2,0.6882590999999999,1.5311227272727272,1.302518181818182,0.850694825840812
2013-05-01,1.9462,1.8765,2.4,0.8,1.5297181818181818,1.2983136363636363,0.8487273353974886
2013-06-01,2.3063,2.2119,2.6,0.9313626,1.5493000000000001,1.319715,0.8518137223262118
2013-07-01,2.471,2.2492,2.5,1.067616,1.5179181818181817,1.3087863636363635,0.8622245779207167
2013-08-01,2.7088,2.362,2.4,0.8686869,1.550518181818182,1.3313545454545455,0.8586513599559091
2013-09-01,2.8443,2.483,2.4,0.8809234,1.58845,1.3364150000000001,0.8413327457584439
2013-10-01,2.6784,2.3915,2.0,0.5659996,1.6097863636363636,1.3645909090909092,0.8476844753538726
2013-11-01,2.7598,2.2656,1.9,0.6782063,1.6100105263157893,1.3490842105263159,0.8379350249426288
2013-12-01,2.9458,2.3294,1.9,0.7063571999999999,1.638347619047619,1.3708,0.8366966717337155
2014-01-01,2.91,2.3851,1.8,0.6490873,1.6469809523809522,1.361795238095238,0.8268433439540169
2014-02-01,2.8147,2.2524,1.6,0.9203075,1.6558473684210526,1.366521052631579,0.8252699365247878
2014-03-01,2.7837,2.1502,1.5,0.6122654,1.6624142857142856,1.3828190476190476,0.8318137419186669
2014-04-01,2.7417,2.0259,1.7,0.7237636,1.6748272727272728,1.381018181818182,0.8245734974027172
2014-05-01,2.6989,1.8421,1.5,0.6831424999999999,1.6842380952380953,1.3738523809523808,0.8157114987701093
2014-06-01,2.7842,1.7124,1.8,0.4814442999999999,1.6907999999999999,1.3594857142857142,0.8040488019196323
2014-07-01,2.7343,1.5608,1.6,0.4627766999999999,1.7065772727272728,1.3533363636363636,0.7930120629542917
2014-08-01,2.5347,1.4045,1.5,0.4406168999999999,1.6700190476190475,1.3315238095238096,0.7973105524887085
2014-09-01,2.4919,1.3512,1.3,0.2910769999999999,1.6290285714285715,1.2889095238095238,0.7912135774753285
2014-10-01,2.2469,1.2586,1.3,0.4522612999999999,1.6074363636363636,1.2677318181818182,0.7886668778065582
2014-11-01,2.1593,1.138,1.1,0.3217374,1.577061111111111,1.24725,0.7908697964920686
2014-12-01,1.9287,0.9218,0.6999999999999998,0.06012024,1.5644285714285715,1.2329190476190477,0.7880954555139561
