league,season,team_tm,tm_club_id,tm_slug,squad_size,avg_age_tm,foreigners,avg_market_value_eur_m,total_market_value_eur_m
premier-league,2015-2016,Chelsea FC,631,fc-chelsea,40,25.2,31,13.84,553.5
premier-league,2015-2016,Manchester City,281,manchester-city,38,25.9,27,13.14,499.35
premier-league,2015-2016,Arsenal FC,11,fc-arsenal,41,25.2,30,11.17,457.85
premier-league,2015-2016,Manchester United,985,manchester-united,44,24.1,27,10.0,439.85
premier-league,2015-2016,Liverpool FC,31,fc-liverpool,44,23.9,27,8.53,375.25
premier-league,2015-2016,Tottenham Hotspur,148,tottenham-hotspur,31,24.2,16,12.0,371.85
premier-league,2015-2016,Everton FC,29,fc-everton,39,26.1,22,6.41,249.85
premier-league,2015-2016,Southampton FC,180,fc-southampton,35,25.6,20,6.44,225.5
premier-league,2015-2016,West Ham United,379,west-ham-united,50,24.7,28,4.03,201.33
premier-league,2015-2016,Newcastle United,762,newcastle-united,42,25.2,28,4.71,198.0
premier-league,2015-2016,Leicester City,1003,leicester-city,35,27.3,21,4.6,161.1
premier-league,2015-2016,Stoke City,512,stoke-city,31,27.9,24,4.74,147.0
premier-league,2015-2016,Swansea City,2288,swansea-city,36,26.4,27,4.05,145.8
premier-league,2015-2016,Watford FC,1010,fc-watford,39,27.8,35,3.51,137.0
premier-league,2015-2016,Crystal Palace,873,crystal-palace,38,27.2,20,3.57,135.7
premier-league,2015-2016,Aston Villa,405,aston-villa,44,25.1,25,2.68,117.95
premier-league,2015-2016,Norwich City,1123,norwich-city,41,27.0,22,2.85,116.9
premier-league,2015-2016,West Bromwich Albion,984,west-bromwich-albion,35,26.9,22,3.23,113.1
premier-league,2015-2016,Sunderland AFC,289,afc-sunderland,42,27.0,27,2.65,111.25
premier-league,2015-2016,AFC Bournemouth,989,afc-bournemouth,49,25.6,22,2.04,99.9
premier-league,2016-2017,Chelsea FC,631,fc-chelsea,49,25.4,41,14.01,686.7
premier-league,2016-2017,Manchester City,281,manchester-city,35,26.9,29,16.47,576.5
premier-league,2016-2017,Tottenham Hotspur,148,tottenham-hotspur,38,24.1,20,14.31,543.65
premier-league,2016-2017,Arsenal FC,11,fc-arsenal,42,25.3,26,12.9,542.0
premier-league,2016-2017,Manchester United,985,manchester-united,42,25.0,26,12.65,531.45
premier-league,2016-2017,Liverpool FC,31,fc-liverpool,38,24.9,24,11.2,425.65
premier-league,2016-2017,Everton FC,29,fc-everton,39,26.4,26,7.98,311.25
premier-league,2016-2017,West Ham United,379,west-ham-united,44,25.1,29,6.21,273.05
premier-league,2016-2017,Southampton FC,180,fc-southampton,36,25.9,19,7.33,263.75
premier-league,2016-2017,Crystal Palace,873,crystal-palace,45,26.6,27,5.08,228.43
premier-league,2016-2017,Leicester City,1003,leicester-city,31,27.1,22,7.05,218.65
premier-league,2016-2017,Stoke City,512,stoke-city,34,27.7,27,5.47,186.0
premier-league,2016-2017,Watford FC,1010,fc-watford,46,27.3,37,3.82,175.65
premier-league,2016-2017,Swansea City,2288,swansea-city,37,27.4,28,4.25,157.1
premier-league,2016-2017,Hull City,3008,hull-city,42,26.5,24,3.23,135.85
premier-league,2016-2017,Sunderland AFC,289,afc-sunderland,42,25.8,27,3.14,132.0
premier-league,2016-2017,AFC Bournemouth,989,afc-bournemouth,41,24.8,16,3.21,131.6
premier-league,2016-2017,Middlesbrough FC,641,fc-middlesbrough,35,27.9,21,3.68,128.8
premier-league,2016-2017,West Bromwich Albion,984,west-bromwich-albion,30,27.7,18,4.11,123.2
premier-league,2016-2017,Burnley FC,1132,fc-burnley,36,27.2,16,2.98,107.18
premier-league,2017-2018,Manchester City,281,manchester-city,32,25.5,22,31.53,1010.0
premier-league,2017-2018,Chelsea FC,631,fc-chelsea,46,25.3,33,19.22,884.25
premier-league,2017-2018,Liverpool FC,31,fc-liverpool,35,25.4,21,24.5,857.5
premier-league,2017-2018,Manchester United,985,manchester-united,35,26.6,23,24.27,849.5
premier-league,2017-2018,Tottenham Hotspur,148,tottenham-hotspur,34,25.2,22,24.4,829.6
premier-league,2017-2018,Arsenal FC,11,fc-arsenal,45,25.4,27,15.42,694.0
premier-league,2017-2018,Everton FC,29,fc-everton,48,25.4,31,7.94,381.25
premier-league,2017-2018,Leicester City,1003,leicester-city,34,27.0,23,8.95,304.25
premier-league,2017-2018,Southampton FC,180,fc-southampton,29,26.4,16,10.24,297.0
premier-league,2017-2018,West Ham United,379,west-ham-united,42,25.8,26,6.38,268.1
premier-league,2017-2018,Crystal Palace,873,crystal-palace,41,26.3,24,5.38,220.73
premier-league,2017-2018,Newcastle United,762,newcastle-united,37,25.9,27,5.63,208.28
premier-league,2017-2018,Watford FC,1010,fc-watford,37,27.4,28,5.3,196.0
premier-league,2017-2018,Stoke City,512,stoke-city,35,26.8,27,5.5,192.45
premier-league,2017-2018,Burnley FC,1132,fc-burnley,30,28.3,16,5.64,169.3
premier-league,2017-2018,West Bromwich Albion,984,west-bromwich-albion,33,27.0,17,5.03,165.95
premier-league,2017-2018,Swansea City,2288,swansea-city,36,26.8,25,4.6,165.49
premier-league,2017-2018,Brighton & Hove Albion,1237,brighton-amp-hove-albion,39,27.3,27,3.8,148.2
premier-league,2017-2018,AFC Bournemouth,989,afc-bournemouth,35,26.4,14,4.13,144.5
premier-league,2017-2018,Huddersfield Town,1110,huddersfield-town,35,26.1,19,3.03,106.05
premier-league,2018-2019,Manchester City,281,manchester-city,47,24.6,36,25.61,1200.0
premier-league,2018-2019,Liverpool FC,31,fc-liverpool,39,25.2,25,30.06,1170.0
premier-league,2018-2019,Chelsea FC,631,fc-chelsea,54,26.2,40,21.6,1170.0
premier-league,2018-2019,Tottenham Hotspur,148,tottenham-hotspur,34,26.0,20,26.43,898.6
premier-league,2018-2019,Manchester United,985,manchester-united,36,25.9,23,22.16,797.6
premier-league,2018-2019,Arsenal FC,11,fc-arsenal,42,25.4,28,15.69,659.05
premier-league,2018-2019,Everton FC,29,fc-everton,40,26.6,29,13.23,529.1
premier-league,2018-2019,Leicester City,1003,leicester-city,37,26.9,28,11.73,434.1
premier-league,2018-2019,West Ham United,379,west-ham-united,37,27.1,24,9.7,359.0
premier-league,2018-2019,AFC Bournemouth,989,afc-bournemouth,37,26.2,17,8.38,310.0
premier-league,2018-2019,Southampton FC,180,fc-southampton,40,25.5,20,7.64,305.4
premier-league,2018-2019,Wolverhampton Wanderers,543,wolverhampton-wanderers,40,24.5,26,7.57,302.9
premier-league,2018-2019,Crystal Palace,873,crystal-palace,36,26.9,22,8.03,289.0
premier-league,2018-2019,Fulham FC,931,fc-fulham,33,26.2,26,7.7,254.25
premier-league,2018-2019,Newcastle United,762,newcastle-united,37,26.6,25,6.61,244.65
premier-league,2018-2019,Watford FC,1010,fc-watford,39,26.7,32,6.13,239.1
premier-league,2018-2019,Burnley FC,1132,fc-burnley,33,28.6,14,5.98,197.25
premier-league,2018-2019,Brighton & Hove Albion,1237,brighton-amp-hove-albion,41,26.3,29,4.74,194.35
premier-league,2018-2019,Huddersfield Town,1110,huddersfield-town,33,25.8,21,4.17,137.45
