club,season,state,revenue_fy24_gbp_m,wage_ratio,ebitda_margin,growth,wacc,dcf_operating_gbp_m,dcf_terminal_gbp_m,dcf_value_gbp_m,terminal_zeroed_lossmaker,p_ucl_5y,p_champ_5y,comps_multiple,comps_value_gbp_m,comps_low_gbp_m,comps_high_gbp_m,ucl_option_gbp_m,ucl_linear_gbp_m,convexity_premium_gbp_m,blend_value_gbp_m
Tottenham Hotspur,2023-2024,EUR,510.468,0.454,0.296,0.0991,0.1122,783.2,738.6,1521.8,False,0.235,0.242,3.76,1919.0,859.0,1918.0,36.9,22.7,14.2,1720.4
Manchester United,2023-2024,MID,613.444,0.523,0.227,0.1055,0.1122,694.7,694.4,1389.2,False,0.154,0.373,3.76,2307.0,1032.0,2305.0,18.2,10.5,7.7,1848.1
Manchester City,2023-2024,UCL,715.019,0.507,0.243,0.0794,0.1122,731.9,623.0,1354.9,False,0.283,0.187,3.76,2688.0,1203.0,2687.0,79.0,31.6,47.4,2021.4
Liverpool,2023-2024,UCL,613.764,0.561,0.189,0.0867,0.1122,507.7,446.9,954.6,False,0.283,0.187,3.76,2308.0,1033.0,2306.0,34.7,21.1,13.6,1631.3
Arsenal,2023-2024,UCL,573.973,0.558,0.192,0.0738,0.1122,453.5,376.3,829.8,False,0.283,0.187,3.76,2158.0,966.0,2157.0,32.9,20.1,12.8,1493.9
West Ham,2023-2024,MID,268.201,0.495,0.255,0.0816,0.1222,291.4,226.5,517.9,False,0.154,0.373,2.19,587.0,451.0,1008.0,8.5,4.9,3.6,552.4
Chelsea,2023-2024,EUR,468.486,0.645,0.105,0.0629,0.1122,215.8,172.4,388.1,False,0.235,0.242,3.76,1762.0,788.0,1760.0,12.0,7.4,4.6,1075.0
Aston Villa,2023-2024,UCL,263.079,0.612,0.138,0.12,0.1222,176.9,155.7,332.7,False,0.283,0.187,3.76,989.0,443.0,989.0,10.4,6.4,4.0,660.8
Newcastle United,2023-2024,EUR,320.313,0.645,0.105,0.1118,0.1222,176.4,151.9,328.2,False,0.235,0.242,2.19,701.0,539.0,1204.0,7.9,4.9,3.0,514.6
Brentford,2023-2024,LOW,166.536,0.512,0.238,0.0839,0.1222,167.2,135.1,302.2,False,0.121,0.472,2.19,365.0,280.0,626.0,1.2,2.2,-1.0,333.6
Brighton,2023-2024,MID,221.293,0.592,0.158,0.0805,0.1222,148.0,114.4,262.3,False,0.154,0.373,2.19,485.0,372.0,832.0,4.3,2.5,1.8,373.6
Sheffield United,2023-2024,REL,137.599836,0.45,0.3,0.0305,0.1422,98.1,54.0,152.1,False,0.038,0.79,1.68,231.0,232.0,517.0,2.3,0.7,1.6,191.6
Luton Town,2023-2024,REL,132.321856,0.612,0.138,0.0806,0.1422,55.0,38.4,93.4,False,0.038,0.79,1.68,222.0,223.0,497.0,0.5,0.3,0.2,157.7
Wolves,2023-2024,MID,177.697,0.686,0.064,0.0433,0.1222,40.3,26.1,66.4,False,0.154,0.373,2.19,389.0,299.0,668.0,0.3,0.8,-0.5,227.7
Crystal Palace,2023-2024,MID,189.31,0.732,0.018,0.0806,0.1222,14.4,11.1,25.5,False,0.154,0.373,2.19,415.0,319.0,711.0,0.1,0.2,-0.1,220.2
Burnley,2023-2024,REL,133.565,0.73,0.02,0.0485,0.1422,6.7,4.1,10.8,False,0.038,0.79,1.68,224.0,225.0,502.0,0.1,0.0,0.1,117.4
Nottingham Forest,2023-2024,LOW,189.552,0.814,-0.064,0.0806,0.1222,-50.4,0.0,-50.4,True,0.121,0.472,2.19,415.0,319.0,712.0,0.0,0.0,0.0,182.3
Bournemouth,2023-2024,MID,160.792,0.85,-0.1,0.0933,0.1222,-72.3,0.0,-72.3,True,0.154,0.373,2.19,352.0,271.0,604.0,0.0,0.0,0.0,139.8
Everton,2023-2024,LOW,186.902,0.85,-0.1,0.0679,0.1222,-73.3,0.0,-73.3,True,0.121,0.472,2.19,409.0,315.0,702.0,0.0,0.0,0.0,167.8
Fulham,2023-2024,MID,181.559,0.85,-0.1,0.0885,0.1222,-79.8,0.0,-79.8,True,0.154,0.373,2.19,398.0,306.0,682.0,0.0,0.0,0.0,159.1
