hypothesis,spec,dep,focus_var,coef,se,t,p,n,r2_within
H1,fwd value growth ~ promoted + ppg + position,fwd_value_growth,newly_promoted,0.1783,0.0981,1.8189,0.0704,275,0.036
H1,robustness: ex-COI,fwd_value_growth,newly_promoted,0.1443,0.0941,1.5336,0.1267,261,0.025
H2,log value ~ mco + ppg + position,log_value,mco_flag,0.0888,0.0656,1.3543,0.1767,358,0.08
H2,integrated-scope only,log_value,mco_integrated,0.0573,0.0719,0.7975,0.4258,358,0.063
H2,robustness: ex-COI,log_value,mco_flag,0.0953,0.0738,1.2914,0.1977,342,0.082
H3,log value ~ ucl(t-1) + ppg,log_value,ucl_spot_lag1,0.1489,0.0464,3.2108,0.0015,275,0.054
H3,convexity: + ucl(t-1) x pos_vol,log_value,ucl_x_vol,-0.0163,0.0312,-0.5223,0.6021,225,0.133
H4,rev growth ~ ppg(t-1) + mw_age(t-1),revenue_growth_yoy,ppg_lag1,0.1647,0.0883,1.8655,0.0651,136,0.026
H4,age focus (same spec),revenue_growth_yoy,minutes_weighted_age_lag1,-0.0079,0.0238,-0.331,0.7414,136,0.026
H4,+ lagged value control,revenue_growth_yoy,ppg_lag1,0.2042,0.1019,2.0039,0.0478,136,0.121
H4,robustness: ex-COI,revenue_growth_yoy,ppg_lag1,0.142,0.0962,1.4762,0.1433,128,0.023
