target,model,feature,importance
revenue_growth_yoy,lasso,ppg_lag1,0.0
revenue_growth_yoy,lasso,position_lag1,0.0
revenue_growth_yoy,lasso,points_lag1,0.0
revenue_growth_yoy,lasso,gd_pg_lag1,0.0
revenue_growth_yoy,lasso,total_market_value_eur_m_lag1,0.0
revenue_growth_yoy,lasso,net_spend_eur_m_lag1,0.0
revenue_growth_yoy,lasso,minutes_weighted_age_lag1,0.0
revenue_growth_yoy,lasso,squad_mean_age_lag1,0.0017563956496135303
revenue_growth_yoy,lasso,newly_promoted,0.9969917147425514
revenue_growth_yoy,lasso,ucl_spot_lag1,0.0
revenue_growth_yoy,lasso,mco_flag,0.03953276051926357
revenue_growth_yoy,lasso,covid_season,0.09647701302976701
revenue_growth_yoy,lasso,is_premier_league,0.0
revenue_growth_yoy,lasso,uk_gilt_10y_season,0.0
revenue_growth_yoy,lasso,eur_gbp_season,0.0
revenue_growth_yoy,random_forest,ppg_lag1,0.00034509238713075987
revenue_growth_yoy,random_forest,position_lag1,0.00034832480339657963
revenue_growth_yoy,random_forest,points_lag1,0.0002905814778619081
revenue_growth_yoy,random_forest,gd_pg_lag1,0.0022109484953413846
revenue_growth_yoy,random_forest,total_market_value_eur_m_lag1,0.0048728133183838
revenue_growth_yoy,random_forest,net_spend_eur_m_lag1,0.0012287462471378566
revenue_growth_yoy,random_forest,minutes_weighted_age_lag1,0.001052478826404817
revenue_growth_yoy,random_forest,squad_mean_age_lag1,0.0010215610445003913
revenue_growth_yoy,random_forest,newly_promoted,0.9310975950820445
revenue_growth_yoy,random_forest,ucl_spot_lag1,1.065971634765688e-05
revenue_growth_yoy,random_forest,mco_flag,3.397424821896318e-06
revenue_growth_yoy,random_forest,covid_season,0.0017396856935230406
revenue_growth_yoy,random_forest,is_premier_league,0.0
revenue_growth_yoy,random_forest,uk_gilt_10y_season,0.03014139513838949
revenue_growth_yoy,random_forest,eur_gbp_season,0.025636720344716153
revenue_growth_yoy,gbm,ppg_lag1,0.0008924206332980903
revenue_growth_yoy,gbm,position_lag1,0.00010292331153444465
revenue_growth_yoy,gbm,points_lag1,0.001260599923678835
revenue_growth_yoy,gbm,gd_pg_lag1,0.0031245597633625267
revenue_growth_yoy,gbm,total_market_value_eur_m_lag1,0.0035652447327249137
revenue_growth_yoy,gbm,net_spend_eur_m_lag1,0.0016549372301757563
revenue_growth_yoy,gbm,minutes_weighted_age_lag1,0.0008610337845135186
revenue_growth_yoy,gbm,squad_mean_age_lag1,0.002030908402680756
revenue_growth_yoy,gbm,newly_promoted,0.7217443855130765
revenue_growth_yoy,gbm,ucl_spot_lag1,0.0
revenue_growth_yoy,gbm,mco_flag,0.05595269199444976
revenue_growth_yoy,gbm,covid_season,0.005748583012973011
revenue_growth_yoy,gbm,is_premier_league,0.0
revenue_growth_yoy,gbm,uk_gilt_10y_season,0.11046651292267265
revenue_growth_yoy,gbm,eur_gbp_season,0.09259519877485914
squad_value_growth_yoy,lasso,ppg_lag1,0.04898276540369814
squad_value_growth_yoy,lasso,position_lag1,0.03981861892226454
squad_value_growth_yoy,lasso,points_lag1,0.06230562022261183
squad_value_growth_yoy,lasso,gd_pg_lag1,0.06943295140034061
squad_value_growth_yoy,lasso,total_market_value_eur_m_lag1,0.15665357377421207
squad_value_growth_yoy,lasso,net_spend_eur_m_lag1,0.05161226054811376
squad_value_growth_yoy,lasso,minutes_weighted_age_lag1,0.030278195313072454
squad_value_growth_yoy,lasso,squad_mean_age_lag1,0.022649482494770123
squad_value_growth_yoy,lasso,newly_promoted,0.0
squad_value_growth_yoy,lasso,ucl_spot_lag1,0.05719051754997448
squad_value_growth_yoy,lasso,mco_flag,0.002183581426643121
squad_value_growth_yoy,lasso,covid_season,0.4766565936734713
squad_value_growth_yoy,lasso,is_premier_league,0.02717934819699655
squad_value_growth_yoy,lasso,uk_gilt_10y_season,0.33497155289877556
squad_value_growth_yoy,lasso,eur_gbp_season,0.15477967221154565
squad_value_growth_yoy,random_forest,ppg_lag1,0.023972300823300086
squad_value_growth_yoy,random_forest,position_lag1,0.03541515784614847
squad_value_growth_yoy,random_forest,points_lag1,0.051090069807888036
squad_value_growth_yoy,random_forest,gd_pg_lag1,0.02840782292710382
squad_value_growth_yoy,random_forest,total_market_value_eur_m_lag1,0.15966100283713996
squad_value_growth_yoy,random_forest,net_spend_eur_m_lag1,0.06759056646767624
squad_value_growth_yoy,random_forest,minutes_weighted_age_lag1,0.08012949871285724
squad_value_growth_yoy,random_forest,squad_mean_age_lag1,0.038221401306684256
squad_value_growth_yoy,random_forest,newly_promoted,0.0
squad_value_growth_yoy,random_forest,ucl_spot_lag1,0.00032996816670733146
squad_value_growth_yoy,random_forest,mco_flag,0.0007106998725340204
squad_value_growth_yoy,random_forest,covid_season,0.10174897799591946
squad_value_growth_yoy,random_forest,is_premier_league,0.005364034138558085
