Tottenham Hotspur,Manchester United,Manchester City,Liverpool,Arsenal,West Ham,Chelsea,Aston Villa,Newcastle United,Brentford,Brighton,Sheffield United,Luton Town,Wolves,Crystal Palace,Burnley,Nottingham Forest,Bournemouth,Everton,Fulham
4.029870206086898221e-02,1.096017452070714888e-02,1.573477828710065710e-02,2.045636068397932439e-02,5.340626482570062263e-03,2.358693778888772304e-03,1.013678818419919483e-02,4.571645783243700849e-03,4.214550292049128871e-03,8.109116107888742625e-03,-1.623866377925555719e-03,9.842701479864010214e-03,9.308457032153999097e-03,1.740590131978335137e-03,1.135907733809995122e-02,1.730896595919764053e-02,1.056513496428848967e-02,6.335544458345439105e-03,8.551002713113507736e-03,1.035639632512105369e-02
1.096017452070714888e-02,3.602850828100714886e-02,1.314929475743117047e-02,1.570108862335048427e-02,7.912278249903896207e-03,1.829518538552267265e-03,1.322810346996849788e-02,8.576423108189271463e-03,5.433971831397756309e-03,8.813834184139834882e-03,7.757184402095688644e-03,8.482896853884860575e-03,8.622667999920032716e-03,9.378607818717535349e-03,3.130855657432634470e-03,1.199368007826994049e-02,7.616096641993871409e-03,-2.306642383559205471e-03,8.117825231056132948e-03,7.783291696594334640e-03
1.573477828710065710e-02,1.314929475743117047e-02,3.853595504057331922e-02,2.276107387845889909e-02,8.753573115419244210e-03,1.983129356406179884e-03,1.303374606078849460e-02,6.344395572958290257e-03,6.836586573690729869e-03,1.046854970168414369e-02,3.983966009158129359e-03,1.078425207404269323e-02,1.046260635564372904e-02,5.778134262198770382e-03,5.169113032274346743e-03,1.738164748522990841e-02,1.131373335737368389e-02,7.096099796064912583e-03,8.265433800151227375e-03,1.117235815887870735e-02
2.045636068397932439e-02,1.570108862335048427e-02,2.276107387845889909e-02,5.319688035241693785e-02,2.820958294534650721e-03,4.219715526030854043e-04,1.681652450811385244e-02,9.425676068409268721e-03,2.562869095509733974e-03,1.046935134826400098e-02,1.812019930186904932e-03,1.252419606142494285e-02,1.219361823455742538e-02,6.930854729195786400e-03,3.846008496707244498e-03,1.992401902299586330e-02,1.256988942646062452e-02,1.114476323933971842e-02,1.554315125361506282e-02,1.250738945367732211e-02
5.340626482570062263e-03,7.912278249903896207e-03,8.753573115419244210e-03,2.820958294534650721e-03,3.492460182789042245e-02,4.832053636842244954e-03,5.991776773120974231e-03,2.536181091795557737e-05,1.194261978792765522e-02,8.790334698414292020e-03,8.063375953958172235e-03,6.418744734049764214e-03,6.191452860846138363e-03,4.993089291473080081e-03,5.828037008235063127e-03,1.041329629587054405e-02,6.695139382688531163e-03,-4.145390832600460030e-04,-2.548899615798774689e-03,6.611475273971527226e-03
2.358693778888772304e-03,1.829518538552267265e-03,1.983129356406179884e-03,4.219715526030854043e-04,4.832053636842244954e-03,3.149017038551077396e-02,1.243657231758639285e-02,4.049226733526452640e-03,5.599490232505478782e-03,7.803097555428900947e-03,7.405679892472635806e-03,6.656992422353629098e-03,6.639188109243322582e-03,5.667680786379284200e-03,1.541664415133096357e-02,5.302027744647010675e-03,6.113523635635026432e-03,1.312512921830199207e-02,7.208433339607220151e-03,6.200838359697452562e-03
1.013678818419919483e-02,1.322810346996849788e-02,1.303374606078849460e-02,1.681652450811385244e-02,5.991776773120974231e-03,1.243657231758639285e-02,4.704766391292924954e-02,1.765918736145425869e-02,5.358418287161758990e-03,1.405979350119406640e-02,1.096562302745271097e-02,1.362662343616211080e-02,1.397526460580000157e-02,1.038049675951803127e-02,2.002065675606487169e-02,1.264036775898856949e-02,1.348551580390451067e-02,1.689376987421848872e-02,1.793783447187256505e-02,1.356686480815407977e-02
4.571645783243700849e-03,8.576423108189271463e-03,6.344395572958290257e-03,9.425676068409268721e-03,2.536181091795557737e-05,4.049226733526452640e-03,1.765918736145425869e-02,4.120375249113208960e-02,-3.837824872768962666e-03,5.985214738533773185e-03,4.408396056201506312e-03,6.368184405797941081e-03,7.265959819988034724e-03,6.399703408614862074e-03,9.463080874707869086e-03,8.007905489275004684e-04,8.180172583353526386e-03,7.204321225605770686e-03,1.295350962639014308e-02,8.028318617230096460e-03
4.214550292049128871e-03,5.433971831397756309e-03,6.836586573690729869e-03,2.562869095509733974e-03,1.194261978792765522e-02,5.599490232505478782e-03,5.358418287161758990e-03,-3.837824872768962666e-03,3.147950699641487854e-02,7.683078335031013652e-03,6.768470965127143524e-03,5.761604736552159572e-03,5.310969911884902243e-03,2.665684300564683147e-03,7.362772314442584884e-03,1.063115991030095728e-02,5.093615893935185546e-03,2.004064840878456988e-03,-2.025630795582998404e-03,5.129719163328431107e-03
8.109116107888742625e-03,8.813834184139834882e-03,1.046854970168414369e-02,1.046935134826400098e-02,8.790334698414292020e-03,7.803097555428900947e-03,1.405979350119406640e-02,5.985214738533773185e-03,7.683078335031013652e-03,2.998037948330302405e-02,7.938486421114223160e-03,9.229135490914893228e-03,9.142840373725501235e-03,7.231863832514369775e-03,1.071248546513570155e-02,1.144573804215117362e-02,9.060160938765231611e-03,9.148242730812487788e-03,7.467509803471025602e-03,9.073894284676245134e-03
