club,market_proxy_gbp_m,blend_value_gbp_m,upside,exp_return
Tottenham Hotspur,763.0,1720.4,1.254,0.297
Manchester United,736.0,1848.1,1.512,0.3227
Manchester City,1329.0,2021.4,0.521,0.208
Liverpool,870.0,1631.3,0.876,0.2545
Arsenal,1092.0,1493.9,0.368,0.1851
West Ham,444.0,552.4,0.245,0.1652
Chelsea,919.0,1075.0,0.169,0.1522
Aston Villa,646.0,660.8,0.023,0.125
Newcastle United,594.0,514.6,-0.133,0.0923
Brentford,390.0,333.6,-0.145,0.0896
Brighton,477.0,373.6,-0.217,0.0726
Sheffield United,139.0,191.6,0.382,0.1873
Luton Town,128.0,157.7,0.23,0.1627
Wolves,403.0,227.7,-0.435,0.0126
Crystal Palace,406.0,220.2,-0.458,0.0051
Burnley,249.0,117.4,-0.528,-0.0191
Nottingham Forest,456.0,182.3,-0.6,-0.0472
Bournemouth,366.0,139.8,-0.618,-0.0545
Everton,357.0,167.8,-0.529,-0.0195
Fulham,350.0,159.1,-0.545,-0.0253
