,max_sharpe,min_var,long_short_max_sharpe
Tottenham Hotspur,0.19999999999999976,0.08077637763166708,0.4424056331267853
Manchester United,0.19999999999999984,0.036456232363295364,0.44877899483098826
Manchester City,0.01665880903500933,9.374547633557181e-05,0.10679159662658824
Liverpool,0.0845737654440947,0.0008526025493485151,0.20130060685985776
Arsenal,0.1541440423693161,0.09032561414074188,0.222175546643224
West Ham,0.19999999999999907,0.0960569729208335,0.49882257812066383
Chelsea,2.110219796111978e-16,0.0,0.046371690491791594
Aston Villa,0.03257159513343569,0.10676810504831864,0.16576716945381198
Newcastle United,2.1885653409607395e-16,0.14943321975720086,0.04447059606651772
Brentford,1.294662113246097e-16,0.00369822869801017,-0.05658622401565996
Brighton,2.7584296444774197e-16,0.08413464311997489,0.029624925801446465
Sheffield United,0.09048589950128366,0.038902333632796667,0.2719600546294527
Luton Town,0.021565888407071625,0.03807687983300096,0.19580556143961145
Wolves,2.003934881000531e-16,0.07949087158654382,-0.212084481993243
Crystal Palace,5.700903482616175e-16,0.0,-0.159875477292815
Burnley,2.2893084641668315e-15,0.0,-0.3
Nottingham Forest,7.557476044774926e-16,0.045178644843733726,-0.3
Bournemouth,7.231196457424112e-16,0.04471906425803238,-0.07424050889972658
Everton,2.1349431062342423e-16,0.06103744709280991,-0.2714882618892946
Fulham,8.087075441424746e-16,0.043999017047355926,-0.3
